"id","title","startYear","endYear","abstract"
642228,"bringing coastal SUBsurface water SOLutions to the market","2015","2018","Coastal areas are the most productive and economically dominant regions of the world. The high water demand in these regions, however, puts tremendous pressure on their freshwater resources and ecosystems. This leads to problems like seasonal water shortage, saltwater intrusion, and disappearance of wetlands. 

Building on national, regional and European research and innovation programs, in the past five years, a set of innovative, practical concepts have been developed for protection, enlargement and utilization of freshwater resources in coastal areas. These subsurface water solutions (SWS) combine innovations in water well design and configuration, allowing for advanced groundwater management, and maximum control over freshwater resources. SWS have been successfully piloted by public-private partnerships. These full-scale pilots have demonstrated SWS capacity to support sustainable freshwater supply in coastal areas, energy reduction, food production, and financial savings.

SUBSOL targets a market breakthrough of SWS as robust answers to freshwater resources challenges in coastal areas, by demonstration, market replication, standardization and commercialisation. The route to market includes business cases, market scans and capacity building in selected regions in Europe (Mediterranean, Northwestern Europe) and worldwide (USA, Brazil, China, Vietnam). SUBSOL will share experiences and outcomes with stakeholder groups through an online platform, that will be linked to existing networks, including EIP on Water.

The SUBSOL consortium combines knowledge providers, technology SMEs, consultants, and end-users from across Europe. Our ambition is to introduce a new way of thinking in terms of water resources management, promoting the sustainable development of coastal areas worldwide. This will stimulate economic growth and will create market opportunities and jobs for the European industry and SMEs."
642494,"ECOLORO: Reuse of Waste Water from the Textile Industry","2015","2018","Constant extraction of increasingly scarce fresh water puts a vital demand on increasing water-use efficiency in all sectors. The ECWRTI project will demonstrate the EColoRO concept on full industrial scale in two locations in the European textile industry. 

The EColoRO concept uses electro-coagulation (EC) combined with flotation to remove pollutants, colorants and chemicals from waste water very effectively.  This unique feature enables using ultrafiltration and reverse osmosis membrane processes downstream in an optimized way. The key advantages are: 
- Total reuse of waste-water in textile industry reducing fresh-water intake by at least  75% 
- Low-cost and economically highly attractive 
- Very flexible, containerized and modular, easy scalable, low footprint, suitable for retro-fit, brownfield or greenfield application
- Low energy use, no use of chemicals or flocculants, producing concentrated waste streams with very high re-use potential
- Enabler for optimizing use of water, allowing for advanced energy and resource efficiency in the textile manufacturing processes

EC and the EColoRO concept are currently proven at TRL 6. The ECWRTI project will run for 35 months and will deliver technological proof at TRL 8, ready for commercial uptake. It will further deliver the materials, analysis and tools needed for rapid commercial roll-out.
The consortium consists of a focused and well-balanced team. The project is SME driven with EColoRO as coordinator and 6 partners from 3 EU member states with key know-how on waste water purification (VITO, EColoRO), textile technology and production (Inotex, Utexbel), electro-coagulation and engineering (Morselt),  process technology, open innovation and project support (ISPT) and EU wide market access in the textile sector (Euratex). An advisory board with stakeholders from textile, process industry and waste water sectors will provide guidance, critical feedback and dissemination support."
652692,"Creating links to speed-up innovation in the bio economy","2015","2018","BioLinX will bridge research and innovation efforts in the bioeconomy by building three large clusters in Europe and initiating within them a range of powerful linking and innovation acceleration processes.  The BioLinX partners have leading roles in the bioeconomies of South West Netherlands and Flanders, the Nordic Countries and Northern Italy and in the lignocellulose, agro- and agro-waste feedstock sectors.  The partners are all pioneers of systematic innovation management and cluster acceleration practices and between them have leading roles in over 45 current or recent collaborative bioeconomy projects.    From this strong starting point they will select sixty or more FP7 and Horizon 2020 biobased projects from all stages of the value chain, form the BioLinX clusters and develop among them brokerage, collaborative innovation and business acceleration dynamics.  
Specific objectives are: 
1. Selecting and scouting more than 60 high potential bio-economy projects,
2. Developing a network of key regional bioeconomy clusters (i.e. RIS3 regions or equivalent) covering 3 geographical regions (north, central, south)
3. Analysing, clustering and focusing selected FP7 and H2020 projects as well as the network of RIS3 bio-economy regions,
4. Implementing  the Innovation Linking & Support Programme consisting of activities focusing on Brokerage and Innovation incubation, Business development, finance and funding, Identifying and sharing good practices and Advocacy, communication and dissemination."
653522,"Climate Resilient Cities and Infrastructures","2015","2018","With most of its population and capital goods concentrated in urban areas, cities are key to the European economy.  One of the major challenges cities face are more frequent  extreme weather events due to climate change.The current diversity of approaches and methods available for cities developing an adaptation strategy limits the comparability between cities of vulnerabilities, adaptation options, infrastructures, etc., and, as a result, the resilience capability. The lack of standardized information to prioritize and select appropriate adaptation options restricts the exchange of experiences between cities. 
The objective of RESIN is to provide standardised  methodologies for vulnerability assessments, performance evaluations of adaptation measures, and for decision support tools supporting the development of robust adaptation strategies tailored to the city. To this end, RESIN aims to create a common unifying framework that allows comparing strategies, results and identification of best practices by
• Creating an urban typology that characterises European cities based on different socio-economic and biophysical variables
• Delivering standardised methods for assessing climate change impacts, vulnerabilities, and risks; providing an inventory of adaptation measures and developing standardised  methods to assess the performance of such adaptation measures
• Collaborating closely with 4 ‘case cities’ for practical applicability and reproducibility, and with European Standardisation organisations to ensure a systematic (standardised) implementation
• Integrating findings in a coherent framework for the decision making process, with associated methods, tools and datasets

The consortium consists of 17 partners from 8 different European countries, experienced in urban resilience and climate change, and combining theory (knowledge institutes/universities) with practice (cities, consultancies, network organisation, standardisation institute)."
653748,"Culture And RISkmanagement in Man-made And Natural Disasters","2015","2018","As risks are not “objective” but socially and culturally constructed, disaster management which is aware, respects, and makes use of local cultural aspects will be not only more effective but, at the same time, also improve the community’s disaster coping capacities. CARISMAND is setting out to identify these factors, to explore existing gaps and opportunities for improvement of disaster policies and procedures, and to develop a comprehensive toolkit which will allow professional as well as voluntary disaster managers to adopt culturally-aware everyday practices. This goal will be achieved by approaching the links, and gaps, between disaster management, culture and risk perception from the broadest possible multi-disciplinary perspective and, simultaneously, developing a feedback-loop between disaster management stakeholders and citizens to establish, test, and refine proposed solutions for culturally-informed best practices in disaster management. Whilst experts from a variety of fields (in particular legal, IT, cognitive science, anthropology, psychology, sociology) will undertake a comprehensive collation of existing knowledge and structures, a number of Citizen Summits and Stakeholder Assemblies will be organised. Systematically, CARISMAND will use an approach that examines natural, man-made and technical disasters, placing at the centre of attention specific aspects that affect culturally informed risk perceptions, eg whether disasters are caused intentionally or not, the different “visibility” of hazards, and various time scales of disasters such as slow/fast onset and short- and long-term effects. By organising six Citizen Summits (two per disaster category per year in two separate locations) where such disaster risks are prevalent , and three Stakeholder Assemblies (one per year) where the results are discussed through a wide cross-sectional knowledge transfer between disaster managers from different locations as well as from different cultural backgrounds."
653811,"Citizen Interaction Technologies Yield Community Policing","2015","2018","Theories underlying community policing received new impetus with the recent advent of smartphones and social media and especially user-generated content (UGC) where citizens engage in closer interaction with their local community and law enforcement agency (LEA). The years 2010-2014 have seen a rapid upsurge of smartphone apps aimed at improving crime reporting and other forms of UGC and interaction associated with community policing. Yet these apps are characterised by a predominantly Anglo-Saxon approach with the largest number originating in the USA, a few in Canada, Australia and with the UK apparently the only major EU state where there has been some take-up of these technologies. CITYCoP sets out to find out why the EU appears to be lagging behind although Community Policing is nominally a policy which has been put into action in a number of EU countries. It then goes on to develop a solution including a new smartphone app and on-line portal which are capable of being deployed in any European city while still retaining “local flavour” and diversity. These ICT solutions will also be designed from scratch to be fully compliant with strict privacy and data protection laws. A training scheme, including use of serious games, will be developed to assist training of officers and citizens in use of the app and portal.  CITYCoP will benefit from a multi-disciplinary approach that will include the sociology of community policing as well as cognitive science perspectives of the citizen’s interaction with community and LEAs through technology.  The partners in CITYCoP build on long years of successful collaboration in EU projects dealing with UGC, smart surveillance and privacy (CONSENT, SMART, RESPECT) positioning CITYCoP solutions to achieve integration into smart city eco-systems. CITYCoP will pilot deployments of multi-lingual smartphone apps, portals and serious games training packages in Bucharest (Romania), Lisbon (Portugal), Florence (Italy), Sheffield (UK)."
654280,"Research Infrastructure on Consumer Health and Food Intake using E-science with Linked Data Sharing","2015","2018","RICHFIELDS
Research Infrastructure on Consumer Health and Food Intake using E-science with Linked Data Sharing

There is growing interest in consumer health as related to food, behaviour and lifestyle determinants. However, data is fragmented, key information is lacking, and the resulting knowledge gap prohibits policy makers and companies to make effective public health nutrition strategies and reformulation of food products. Making “the healthy the easy choice” requires knowledge on the context of personal life style choices of EU-citizens. 
RICHFIELDS will design a world-class infrastructure for innovative research on healthy food choice, preparation and consumption of EU-citizens, closely linked to their behaviour and lifestyle. This unique RI will bridge the gap by linking the agri-food and nutrition-health domains and account for the regional and socio-economic diversity of the EU. The RI will be instrumental to produce a scientifically reliable, technically sound and socio-legally robust evidence-base that enables scientists to efficiently collect, unlock, connect and share research data of EU-citizens. 
Consumers are central to the design: they harbour crucial information, as they increasingly adopt mobile apps and tech-wear, get access to e-business data and even medical information. Collectively, such real-life-time data create new opportunities for research, by e.g., monitoring of food-behaviour providing personalized feedback.  For further testing, detailing and underpinning and theory-building,  interfaces will be created to distributed facilities for experimental research, e.g., virtual supermarkets. Further enrichment of data is achieved via interfaces with information systems for food and health.
The consumer-focus and the scientific evidence of RICHFIELDS will, via its services, be available to (a) EU-consumers and consumer platforms, (b) stakeholders along the food chain, and (c) policy actors in the agri-food and nutrition-health domain."
654513,"Unraveling the mechanobiology of tissue growth in native and tissue-engineered heart valves","2016","2018","The currently available heart valve prostheses do not consist of living tissue and, hence, they cannot grow, repair, and remodel in response to changing demands. This restricts the use of valve replacements in pediatric patients, since they need multiple reoperations to accommodate somatic growth. Tissue-engineered heart valves (TEHVs) may be able to overcome this limitation due to their growth and remodeling potential. However, the exact growth and remodeling processes remain poorly understood, which has become evident in many pre-clinical studies where TEHVs lost their functionality over time due to adverse tissue remodeling. 
The goal of this proposal is to unravel the mechanisms of tissue growth in native valves and TEHVs by integrating advanced continuum mechanics and cell biology, in order to develop predictive models of valve growth that can guide and optimize tissue engineering of heart valves. To achieve this goal, I will first be trained in developing continuum models of valve growth in the lab of Dr. Kuhl at Stanford University, who is a leading expert in modeling soft tissue growth. Furthermore, I will be trained in cell biology and mechanobiology which will enable me to develop agent-based mechanobiological models as a driving mechanism for valve growth in the continuum models.
I will use the obtained knowledge to analyze and predict growth of TEHVs in Europe. At this moment, mechanistic models of valve growth are not available. The models that I will develop during and after my training will provide crucial information for designing TEHVs with long-term functionality and growth potential, and will boost European excellence and competitiveness in the fields of biomechanics and tissue engineering. Moreover, the training that I will receive will significantly extend my scientific profile, and it will provide me the valuable international training at a prestigious academic institute that is required for pursuing an academic career in Europe."
655941,"Duality For Logic On Words","2016","2018","Duality For Logic on Words (DFLOW)

The mathematical theory of Stone duality underlies a deep connection between syntax and semantics in logic and theoretical computer science, and allows for powerful applications in both of these research fields. The aim of this project is to apply the topological methods provided by Stone duality to the study of the expressive power of logic in describing formal languages of both finite and infinite words. 

During the outgoing phase of the project, at the Mathematics Department at the City College of the City University of New York, the applicant will perform an in-depth study of profinite semigroups and their applications in formal language theory, through the lens of Stone duality and finite model theory. In particular, recent insights from duality theory will be applied to obtain tractable combinatorial descriptions of the free profinite objects for logic fragments of varying expressive power. 
During the return phase to Europe, to the Institute for Logic, Language and Computation at the University of Amsterdam, the applicability of duality theory will be extended to streams and data words. To this end, the knowledge and skills obtained during the outgoing phase will be combined with the existing local expertise on logic and coalgebra in Amsterdam.

During both phases, the hands-on research training will be complemented by training activities to further enhance the applicant's skills in networking, collaboration, teaching, communication and management.

The project, taking place at the interface of mathematics and computer science, has the potential to make a significant impact in three different ways: by advancing the research on Stone duality and formal language theory, by facilitating a new collaboration between the European host institute and a world-leading mathematics department in the USA, and by establishing the applicant's position as a leading young researcher in his field."
657750,"Sheep, Wool, Landscape and Connectivity","2016","2018","The purpose of the proposed Marie Sklodowska-Curie action is to enable Paolo Palladino, Professor of History and Theory in the Department of History at Lancaster University, to advance his scientific career by means of further training through research. The programme of research, which Luis Lobo-Guerrero, Professor of History and Theory of International Relations in the Faculty of Arts at the University of Groningen will supervise, and around which the action will develop, focuses on the processes involved in the evolution of three regional economies and the commodification of their agro-biological heritage, specifically as this relates to sheep and the production of woollen textiles (these regions are the Lake District and Dales of northern England, the Catalonian Pyrenees, and the Piedmontese Alps). A trans-national, comparative approach allows for investigation of the diversity of local responses to the transformation of agro-biological products into commodities traded on a global scale; an extended chronological perspective also allows for the investigation of the similarly complex relationship between the creation of bio-economic value and the passage of time (WP1, WP2 and WP3). The results of such investigation then serve as the basis for the development of an empirically grounded, critical understanding of socio-cultural structures and their transformation (WP4). The action thus allows Palladino to advance his understanding of research skills and methods at the intersection of historical, philosophical and sociological modes of inquiry. At the same time, the hosting organisation and beneficiary of the action, the Institute for the Study of Culture (ICOG) at the University of Groningen, will expand its programme of research on the political economy of global integration, on the importance of biological and ecological resources to such integration, and on the role of the past in the construction of a more sustainable future."
